"SKU","URL","Title","Stock","Price","Auction","Description","Condition","Shipping","Versions","Listing Ended","Image_1","Image_2","Image_3","Image_4","Image_5","Image_6","Image_7","Image_8","Image_9","Image_10","Image_11","Image_12"
"e","https://www.ebay.com/itm/135703557299","TROLLMaster PRO3+ Wireless Remote Control System [TMPRO3PLUS]","NA","US $50.00","True","eBay
Purchased the new trollmaster pro angler and no longer need. The servo is acting strange and does not stay where it’s supposed to. Could be simple fix. Message me with any questions","For parts or not working","US $15.00  USPS Priority Mail ® . See detailsfor shipping for shipping Located in: Central City, Nebraska, United States","NA","True","https://i.ebayimg.com/images/g/Tc0AAeSwVbpn~l57/s-l140.jpg","https://i.ebayimg.com/images/g/Hg0AAeSwsdtn~l57/s-l140.jpg","https://i.ebayimg.com/images/g/Tc0AAeSwVbpn~l57/s-l1600.jpg","https://i.ebayimg.com/images/g/Hg0AAeSwsdtn~l57/s-l1600.jpg","https://i.ebayimg.com/images/g/mMAAAeSwSs5n~l57/s-l500.jpg","https://i.ebayimg.com/images/g/Tc0AAeSwVbpn~l57/s-l500.jpg","https://i.ebayimg.com/images/g/Hg0AAeSwsdtn~l57/s-l500.jpg","","","","",""
"c","https://www.ebay.com/itm/232032446194","17 Gallon Fuel Gas Tank For 1985-1988 Chevy Monte Carlo 84-87 Buick Regal Silver","More than 10 available","US $141.25","False","eBay
Evan Fischer Auto Parts Ebay Store
17 Gallon Fuel Gas Tank For 1985-1988 Chevy Monte Carlo 84-87 Buick Regal Silver
Description
Terms of Use
|
Warranty Coverage Policy
Replacement Fuel Tank
REPB670103
JC WHITNEY FUEL TANKS
Built from durable  galvanized steel
Powder-coated finish protects against rust and corrosion
Designed as a direct replacement to your vehicle’s factory fuel tank
Individually quality tested
Manufactured to strict factory specifications  JC Whitney Fuel Tanks directly replace your leaking or corroded tank to get you back on the road. High-grade galvanized steel construction provides long-term durability and a silver powder-coated finish protects against corrosion. Every JC Whitney fuel tank is quality-tested prior to leaving the factory.
With over 105 years of automotive history  JC Whitney embodies America's enduring passion for cars. Our premium  meticulously-crafted auto parts and commitment to quality and reliability have earned us the trust of loyal customers for generations.
Notes
With Filler Neck  36-1/4 x 24-1/4 x 8-7/8  Lock Ring Kit Included
Brand New in the Box -
Fit and Quality Guaranteed!
Material
Galvanized Steel
Capacity
17 gallons / 64 liters
Anticipated Ship Out Time
Same day - 1 business day
Quantity Sold
Sold Individually
Product Fit
Direct Fit
Replaces OE Number
22523080
Color/Finish
Painted
Recommended Use
OE Replacement
Replaces Partslink Number
GM3900132
Notes
With filler neck  lock ring  and pan in tank; Without seal(s); Color/finish will not affect quality and performance of the product
Interchange Part Number
GM307C  22523080  GM3900132
Prop 65 Warning
WARNING: This product can expose you to chemicals including Chromium  Lead and lead compounds  which is known to the State of California to cause cancer and birth defects or other reproductive harm. For more information go to www.P65Warnings.ca.gov.
For Online Marketplace
For Online Marketplace
Returns Policy
30-Day Return Policy
Compatible with the following vehicles:
Buick
87 Regal GNX
84-86 Regal T-Type
84-87 Regal (submodel: Base  Grand National  Limited)","New","Free  Standard Shipping . See detailsfor shipping for shipping Located in: Grand Prairie, TX, United States","NA","NA","https://i.ebayimg.com/images/g/StAAAeSwHAxn~x8G/s-l140.jpg","https://i.ebayimg.com/images/g/jxMAAeSwZptn~x8G/s-l140.jpg","https://i.ebayimg.com/images/g/o80AAeSwIFtn~x8G/s-l140.jpg","https://i.ebayimg.com/images/g/pXIAAeSwzi9n~x8G/s-l140.jpg","https://i.ebayimg.com/images/g/StAAAeSwHAxn~x8G/s-l1600.jpg","https://i.ebayimg.com/images/g/jxMAAeSwZptn~x8G/s-l1600.jpg","https://i.ebayimg.com/images/g/o80AAeSwIFtn~x8G/s-l1600.jpg","https://i.ebayimg.com/images/g/pXIAAeSwzi9n~x8G/s-l1600.jpg","https://i.ebayimg.com/images/g/vNAAAeSwndtn~x8G/s-l500.jpg","https://i.ebayimg.com/images/g/StAAAeSwHAxn~x8G/s-l500.jpg","https://i.ebayimg.com/images/g/jxMAAeSwZptn~x8G/s-l500.jpg","https://i.ebayimg.com/images/g/o80AAeSwIFtn~x8G/s-l500.jpg"
"d","https://www.ebay.com/itm/323831836624","SUGAR FREE SOURS - Jelly Belly Candy Jelly Beans - (1) 2.8oz BAG - FRESH","More than 10 available","US $5.39","False","eBay
SUGAR FREE SOURS
Have the fun of Jelly Belly Sours without the sugar! Our sugar-free formula has 28% fewer calories than regular beans. Included are our most popular sour flavors.
Sour Cherry
Sour Grape
Sour Green Apple
Sour Orange
Sour Lemon
WARNING: Consumption may cause stomach discomfort and/or a laxative effect. Individual tolerance will vary; we suggest starting with 6 pieces or less.
Approximately 400 beans per pound  color as represented is accurate as possible  depending on your video and/or monitor settings.  All Jelly Belly jelly beans are certified OU Kosher by the Orthodox Union.
Snack Attack's Top flavors
Berry Blue  ~  Blueberry  ~  Bubble Gum  ~  Buttered Pop Corn
Cappuccino  ~  Caramel Corn  ~  Chili Mango  ~  Cinnamon
Coconut  ~  Cotton Candy  ~  A&W Creme Soda  ~  Crushed Pineapple
Dr Pepper  ~  Green Apple  ~  Island Punch  ~  Juicy Pear  ~  Lemon Drop
Lemon Lime  ~  Licorice  ~  Mango  ~  Mixed Berry Smoothie  ~  Peach
Orange Sherbet  ~  Pina Colada  ~  Pomegranate  ~  Red Apple
A&W Root Beer  ~  Sizzling Cinnamon  ~  Strawberry Cheesecake
Strawberry Daiquiri  ~ Sunkist Tangerine  ~  Sour Apple  ~  Sour Grape
Toasted Marshmallow  ~  Top Banana  ~  Tutti-Fruitti  ~  Very Cherry
Watermellon  ~  Honey Bean  ~  7UP  ~  Grape Crush  ~  Orange Crush
Rich red gummi bears that make the taste buds sizzle. A wonderful gummi candy that packs a serious punch. Some like it hot - so be prepared for a BLAST!
Approximately 400 beans per pound  color as represented is accurate as possible  depending on your video and/or monitor settings.  All Jelly Belly jelly beans are certified OU Kosher by the Orthodox Union.
Snack Attack's Top flavors
Berry Blue  ~  Blueberry  ~  Bubble Gum  ~  Buttered Pop Corn
Cappuccino  ~  Caramel Corn  ~  Chili Mango  ~  Cinnamon
Coconut  ~  Cotton Candy  ~  A&W Creme Soda  ~  Crushed Pineapple
Dr Pepper  ~  Green Apple  ~  Island Punch  ~  Juicy Pear  ~  Lemon Drop
Lemon Lime  ~  Licorice  ~  Mango  ~  Mixed Berry Smoothie  ~  Peach
Orange Sherbet  ~  Pina Colada  ~  Pomegranate  ~  Red Apple
A&W Root Beer  ~  Sizzling Cinnamon  ~  Strawberry Cheesecake
Strawberry Daiquiri  ~ Sunkist Tangerine  ~  Sour Apple  ~  Sour Grape
Toasted Marshmallow  ~  Top Banana  ~  Tutti-Fruitti  ~  Very Cherry
Watermellon  ~  Honey Bean  ~  7UP  ~  Grape Crush  ~  Orange Crush","New","US $5.85  USPS First Class ® . See detailsfor shipping for shipping Located in: Auburn, California, United States","NA","True","https://i.ebayimg.com/images/g/lBQAAOSwsU5Zy8Zt/s-l140.jpg","https://i.ebayimg.com/images/g/lBQAAOSwsU5Zy8Zt/s-l1600.jpg","https://i.ebayimg.com/images/g/IPQAAOSwVFlT95KO/s-l500.jpg","https://i.ebayimg.com/images/g/lBQAAOSwsU5Zy8Zt/s-l500.jpg","","","","","","","",""
