sku,Brand,Category,sub_category,sub_sub_category,Title,Description,Condition,Price,Image,Product Line,Product Series,Model,OEM Manufacturer,Product Type,# of Cores,Processor Speed,Socket Type
500N5, Dell ,Processors,Server Processors,NA,500N5 - Dell 2.60GHz LGA2011 Xeon E7-4860V2 12-Core Processor,Dell 500N5 2.60GHz 8.00GT/s QPI 30MB L3 Cache Socket FCLGA2011 Intel Xeon E7-4860V2 Dodeca-core (12 Core) Processor,Refurbished,513200,httpscdn.cmshardware.com/images/Images/Products/500N5.webp,Xeon ,E7-4800 ,E7-4860V2 ,Intel ,Processor Upgrade ,Dodeca-core (12 Core) ,2.6 GHz,Socket FCLGA2011 
T3F05, Dell ,Processors,Server Processors,NA,T3F05 - Dell 3.00GHz LGA2011 Xeon E7-8857V2 12-Core Processor,Dell T3F05 3.00GHz 8.00GT/s QPI 30MB L3 Cache Socket FCLGA2011 Intel Xeon E7-8857V2 Dodeca-core (12 Core) Processor,New,$118.00,https://cdn.cmshardware.com/images/Images/Products/T3F05.webp,Xeon ,,E7-8857V2  ,,Micro Processor ,Dodeca-core (12 Core) ,3.00 GHz,Socket FCLGA2011 
0FTPG, Dell ,Processors,Server Processors,NA,0FTPG - Dell 2.80GHz LGA2011 Xeon E7-4890V2 15-Core Processor,Dell 0FTPG 2.80GHz 8.00GT/s QPI 37.5MB L3 Cache Socket FCLGA2011 Intel Xeon E7-4890V2 Pentadeca-core (15 Core) Processor,Refurbished,$245.00,https://cdn.cmshardware.com/images/Images/Products/0FTPG.webp,,, E7-4890V2 ,,Micro Processor ,Pentadeca-core (15 Core) ,2.8 GHz,Socket FCLGA2011 
P1N05, Dell ,Processors,Server Processors,NA,P1N05 - Dell 3.40GHz LGA2011 Xeon E7-8893V2 6-Core Processor,Dell P1N05 3.40GHz 8.00GT/s QPI 37.5MB L3 Cache Socket FCLGA2011 Intel Xeon E7-8893V2 Hexa-core (6 Core) Processor,Refurbished,"$2,768.00",https://cdn.cmshardware.com/images/Images/Products/P1N05.webp,Xeon ,,,,Micro Processor ,Hexa-core (6 Core) ,3.4 GHz,Socket FCLGA2011 
C4KVV, Dell ,Processors,Server Processors,NA,C4KVV - Dell 3.20GHz LGA2011 Xeon E7-8891V2 10-Core Processor,Dell C4KVV 3.20GHz 8.00GT/s QPI 37.5MB L3 Cache Socket FCLGA2011 Intel Xeon E7-8891V2 Deca-core (10 Core) Processor,Refurbished,$98.00,https://cdn.cmshardware.com/images/Images/Products/C4KVV.webp,Xeon ,E7-8800 ,E7-8891V2 ,Intel ,Processor Upgrade ,Deca-core (10 Core) ,3.2 GHz,Socket FCLGA2011 
7WHPG, Dell ,Processors,Server Processors,NA,7WHPG - Dell 2.5GHz LGA2011 Intel Xeon E7-4880V2 15-Core Processor,Dell 7WHPG 2.5GHz 37.5MB L3 Cache 8GT/s QPI Socket FCLG2011 22NM 130W Xeon E7-4880V2 15 Core Processor,Refurbished,$108.00,https://cdn.cmshardware.com/images/Images/Products/7WHPG.webp,,,,,Processor Upgrade ,,,
0X373, Dell ,Processors,Laptop Processors,NA,0X373 - Dell 1.70GHz 400MHz FSB 1MB L2 Cache Socket PGA478 Intel Pentium Single-core (1 Core) Mobile Processor,Dell 0X373 1.70GHz 400MHz FSB 1MB L2 Cache Intel Pentium M Mobile Processor,Refurbished,$69.00,https://cdn.cmshardware.com/images/Images/Products/0X373.webp,Pentium ,,,,Micro Processor ,Single-core (1 Core) ,1.7 GHz,Socket P PGA-478 
0X377, Dell ,Processors,Laptop Processors,NA,0X377 - Dell 1.80GHz 400MHz FSB 512KB L2 Cache Socket PGA478 Intel Pentium 4 Single-core (1 Core) Mobile Processor,Dell 0X377 1.80GHz 400MHz FSB 512KB L2 Cache Intel Pentium 4 Mobile Processor,Refurbished,$71.00,https://cdn.cmshardware.com/images/Images/Products/0X377.webp,,,,,Micro Processor ,Single-core (1 Core) , 1.80 GHz,Socket PGA-478 
0X384, Dell ,Processors,Laptop Processors,NA,0X384 - Dell 2.20GHz Socket PGA478 Pentium 4-M 1-Core Processor,Dell 0X384 2.20GHz 400MHz FSB 512KB L2 Cache Socket PGA478 Intel Pentium 4-M Single-core (1 Core) Processor,Refurbished,$110.00,https://cdn.cmshardware.com/images/Images/Products/0X384.webp,Pentium 4 ,,,,Micro Processor ,Single-core (1 Core) ,2.20 GHz,Socket PGA-478 
124KR, Dell ,Processors,Desktop Processors,NA,124KR - Dell 1.00GHz 133MHz FSB Intel Pentium III Processor,Dell 124KR 1.00GHz 133MHz FSB 256KB L2 Cache Intel Pentium III Processor for OptiPlex GX200,Refurbished,$112.00,https://cdn.cmshardware.com/images/Images/Products/124KR.webp,Pentium III ,,,Intel ,Micro Processor ,Single-core (1 Core) ,1.00 GHz,Socket PPGA370 
139CW, Dell ,Processors,Desktop Processors,NA,139CW - Dell 1.00GHz Socket SECC2 Pentium III 1-Core Processor,Dell 139CW 1.00GHz 133MHz FSB 256KB L2 Cache Socket SECC2 Intel Pentium III Single-core (1 Core) Processor,Refurbished,$112.00,https://cdn.cmshardware.com/images/Images/Products/139CW.webp,Pentium III ,,,Intel ,Micro Processor ,Single-core (1 Core) ,1 GHz,Socket PPGA370 
14WHP, Dell ,Processors,Desktop Processors,NA,14WHP - Dell 1.00GHz 100MHz FSB Intel Pentium III Processor,Dell 14WHP 1.00GHz 100MHz FSB 256KB L2 Cache Intel Pentium III Processor for Dimension 4100,Refurbished,$145.00,https://cdn.cmshardware.com/images/Images/Products/14WHP.webp,Pentium III ,,,,Micro Processor ,,1.00 GHz,Socket PPGA370 
8D742, Dell ,Processors,Desktop Processors,NA,8D742 - Dell 750MHz 100MHz FSB 256KB L2 Cache Socket PGA370 Intel Pentium III Single-core (1 Core) Processor,Dell 8D742 750MHz 100MHz FSB 256KB L2 Cache Intel Pentium III Processor,Refurbished,$98.00,https://cdn.cmshardware.com/images/Images/Products/Intel-Pentium-III.webp,Pentium III ,,,Intel ,Micro Processor ,Single-core (1 Core) ,750 MHz,Socket PGA-370 
8430E, Dell ,Processors,Desktop Processors,NA,8430E - Dell 350MHz 100MHz FSB 512KB L2 Cache Intel Pentium II Processor,Dell 8430E 350MHz 100MHz FSB 512KB L2 Cache Intel Pentium II Processor,Refurbished,$88.00,https://cdn.cmshardware.com/images/Images/Products/Intel-Pentium-II.webp,Pentium II ,,,,Micro Processor ,Single-core (1 Core) ,350 GHz,
7133R, Dell ,Processors,Desktop Processors,NA,7133R - Dell 333MHz 66MHz FSB 128KB L2 Cache Socket PPGA370 / SEPP242 Intel Celeron 1-Core Processor,Dell 7133R 333MHz 66MHz FSB 128KB L2 Cache Socket PPGA370 / SEPP242 Intel Celeron 1-Core Processor,Refurbished,$85.00,https://cdn.cmshardware.com/images/Images/Products/7133R.webp,Celeron ,,,HP ,Micro Processor ,Single-core (1 Core) ,333 GHz,Socket PPGA370 
6540T, Dell ,Processors,Desktop Processors,NA,6540T - Dell 500MHz 66MHz FSB 128KB L2 Cache Socket PPGA370 Intel Celeron Single-core (1 Core) Processor,Dell 6540T 500MHz 66MHz FSB 128KB L2 Cache Socket PPGA370 Intel Celeron Single-core (1 Core) Processor,Refurbished,$90.00,https://cdn.cmshardware.com/images/Images/Products/6540T.webp,Celeron ,,,,Micro Processor ,Single-core (1 Core) ,500 MHz,Socket PPGA370 
651GU, Dell ,Processors,Desktop Processors,NA,651GU - Dell 700MHz 66MHz FSB 128KB L2 Cache Socket PGA370 Intel Celeron 1-Core Processor,Dell 651GU 700MHz 66MHz FSB 128KB L2 Cache Socket PGA370 Intel Celeron 1-Core Processor,Refurbished,$80.00,https://cdn.cmshardware.com/images/Images/Products/651GU.webp,Celeron ,,,,Micro Processor ,Single-core (1 Core) ,700 MHz,Socket PPGA370 
6456C, Dell ,Processors,Desktop Processors,NA,6456C - Dell 266MHz 66MHz FSB 512KB L2 Cache Socket SC242 Intel Pentium II 1-Core Processor,Dell 6456C 266MHz 66MHz FSB 512KB L2 Cache Socket SC242 Intel Pentium II 1-Core Processor,Refurbished,$122.00,https://cdn.cmshardware.com/images/Images/Products/6456C.webp,Pentium II ,,,,Micro Processor ,Single-core (1 Core) ,266 MHz,Socket SECC2242 
8564C, Dell ,Processors,Desktop Processors,NA,8564C - Dell 333MHz 66MHz FSB 128KB L2 Cache Socket PPGA370 / SEPP242 Intel Celeron 1-Core Processor,Dell 8564C 333MHz 66MHz FSB 128KB L2 Cache Socket PPGA370 / SEPP242 Intel Celeron 1-Core Processor,Refurbished,$82.00,https://cdn.cmshardware.com/images/Images/Products/8564C.webp,Celeron ,,,HP ,Micro Processor ,Single-core (1 Core) ,333 GHz,Socket PPGA370 
83DNC, Dell ,Processors,Desktop Processors,NA,83DNC - Dell 500MHz 66MHz FSB 128KB L2 Cache Socket PPGA370 Intel Celeron Single-core (1 Core) Processor,Dell 83DNC 500MHz 66MHz FSB 128KB L2 Cache Socket PPGA370 Intel Celeron Single-core (1 Core) Processor,Refurbished,$78.00,https://cdn.cmshardware.com/images/Images/Products/83DNC.webp,Celeron ,,,,Micro Processor ,Single-core (1 Core) ,500 MHz,Socket PPGA370 
8330C, Dell ,Processors,Desktop Processors,NA,8330C - Dell 266MHz 66MHz FSB 512KB L2 Cache Socket SC242 Intel Pentium II 1-Core Processor,Dell 8330C 266MHz 66MHz FSB 512KB L2 Cache Socket SC242 Intel Pentium II 1-Core Processor,Refurbished,$85.00,https://cdn.cmshardware.com/images/Images/Products/8330C.webp,Pentium II ,,,,Micro Processor ,Single-core (1 Core) ,266 MHz,Socket SECC2242 
82DDC, Dell ,Processors,Desktop Processors,NA,82DDC - Dell 700MHz 66MHz FSB 128KB L2 Cache Socket PGA370 Intel Celeron 1-Core Processor,Dell 82DDC 700MHz 66MHz FSB 128KB L2 Cache Socket PGA370 Intel Celeron 1-Core Processor,Refurbished,$85.00,https://cdn.cmshardware.com/images/Images/Products/82DDC.webp,Celeron ,,,,Micro Processor ,Single-core (1 Core) ,700 MHz,Socket PPGA370 
6056D, Dell ,Processors,Desktop Processors,NA,6056D - Dell 266MHz 66MHz FSB 512KB L2 Cache Socket SC242 Intel Pentium II 1-Core Processor,Dell 6056D 266MHz 66MHz FSB 512KB L2 Cache Socket SC242 Intel Pentium II 1-Core Processor,Refurbished,$122.00,https://cdn.cmshardware.com/images/Images/Products/6056D.webp,Pentium II ,,,,Micro Processor ,Single-core (1 Core) ,266 MHz,Socket SECC2242 
6013D, Dell ,Processors,Desktop Processors,NA,6013D - Dell 333MHz 66MHz FSB 128KB L2 Cache Socket PPGA370 / SEPP242 Intel Celeron 1-Core Processor,Dell 6013D 333MHz 66MHz FSB 128KB L2 Cache Socket PPGA370 / SEPP242 Intel Celeron 1-Core Processor,Refurbished,$82.00,https://cdn.cmshardware.com/images/Images/Products/6013D.webp,Celeron ,,,HP ,Micro Processor ,Single-core (1 Core) ,333 GHz,Socket PPGA370 
5MC7C, Dell ,Processors,Laptop Processors,NA,5MC7C - Dell 2.20GHz Socket PGA478 Celeron 900 1-Core Processor,Dell 5MC7C 2.20GHz 800MHz FSB 1MB L2 Cache Socket PGA478 Intel Celeron 900 Single-core (1 Core) Processor,Refurbished,$80.00,https://cdn.cmshardware.com/images/Images/Products/5MC7C-o.webp,,,,,,,,
5G421, Dell ,Processors,Desktop Processors,NA,5G421 - Dell 700MHz 66MHz FSB 128KB L2 Cache Socket PGA370 Intel Celeron 1-Core Processor,Dell 5G421 700MHz 66MHz FSB 128KB L2 Cache Socket PGA370 Intel Celeron 1-Core Processor,Refurbished,$80.00,https://cdn.cmshardware.com/images/Images/Products/5G421.webp,Celeron ,,,,Micro Processor ,Single-core (1 Core) ,700 MHz,Socket PPGA370 
8819P, Dell ,Processors,Desktop Processors,NA,8819P - Dell 433MHz 66MHz FSB 128KB L2 Cache Socket PGA370 Intel Celeron 1-Core Processor,Dell 8819P 433MHz 66MHz FSB 128KB L2 Cache Socket PGA370 Intel Celeron 1-Core Processor,Refurbished,$125.00,https://cdn.cmshardware.com/images/Images/Products/8819P.webp,Celeron ,,,,Micro Processor ,Single-core (1 Core) ,433 MHz,Socket PPGA370 
8770P, Dell ,Processors,Desktop Processors,NA,8770P - Dell 400MHz 100MHz FSB 512KB L2 Cache Socket SC242 Intel Pentium II 1-Core Processor,Dell 8770P 400MHz 100MHz FSB 512KB L2 Cache Socket SC242 Intel Pentium II 1-Core Processor,Refurbished,$78.00,https://cdn.cmshardware.com/images/Images/Products/8770P.webp,Phenom II ,,,,Micro Processor ,Single-core (1 Core) ,400 MHz,
872RR, Dell ,Processors,Desktop Processors,NA,872RR - Dell 600MHz 66MHz FSB 128KB L2 Cache Socket PGA370 Intel Celeron 1-Core Processor,Dell 872RR 600MHz 66MHz FSB 128KB L2 Cache Socket PGA370 Intel Celeron 1-Core Processor,Refurbished,$80.00,https://cdn.cmshardware.com/images/Images/Products/872RR.webp,Celeron ,,,,Micro Processor ,Single-core (1 Core) ,433 MHz,Socket PPGA370 
7F332, Dell ,Processors,Desktop Processors,NA,7F332 - Dell 700MHz 66MHz FSB 128KB L2 Cache Socket PGA370 Intel Celeron 1-Core Processor,Dell 7F332 700MHz 66MHz FSB 128KB L2 Cache Socket PGA370 Intel Celeron 1-Core Processor,Refurbished,$80.00,https://cdn.cmshardware.com/images/Images/Products/7F332.webp,Celeron ,,,,Micro Processor ,Single-core (1 Core) ,700 MHz,Socket PPGA370 
78JNG, Dell ,Processors,Desktop Processors,NA,78JNG - Dell 433MHz 66MHz FSB 128KB L2 Cache Socket PGA370 Intel Celeron 1-Core Processor,Dell 78JNG 433MHz 66MHz FSB 128KB L2 Cache Socket PGA370 Intel Celeron 1-Core Processor,Refurbished,$125.00,https://cdn.cmshardware.com/images/Images/Products/78JNG.webp,Celeron ,,,,Micro Processor ,Single-core (1 Core) ,433 MHz,Socket PPGA370 
779NP, Dell ,Processors,Desktop Processors,NA,779NP - Dell 500MHz 66MHz FSB 128KB L2 Cache Socket PPGA370 Intel Celeron Single-core (1 Core) Processor,Dell 779NP 500MHz 66MHz FSB 128KB L2 Cache Socket PPGA370 Intel Celeron Single-core (1 Core) Processor,Refurbished,$80.00,https://cdn.cmshardware.com/images/Images/Products/779NP.webp,Celeron ,,,,Micro Processor ,Single-core (1 Core) ,500 MHz,Socket PPGA370 
8203P, Dell ,Processors,Desktop Processors,NA,8203P - Dell 400MHz 66MHz FSB 128KB L2 Cache Socket PGA370 Intel Celeron 1-Core Processor,Dell 8203P 400MHz 66MHz FSB 128KB L2 Cache Socket PGA370 Intel Celeron 1-Core Processor,Refurbished,$98.00,https://cdn.cmshardware.com/images/Images/Products/8203P.webp,Celeron ,,,,Micro Processor ,Single-core (1 Core) ,400 MHz,Socket PPGA370 
8017P, Dell ,Processors,Desktop Processors,NA,8017P - Dell 400MHz 100MHz FSB 512KB L2 Cache Socket SC242 Intel Pentium II 1-Core Processor,Dell 8017P 400MHz 100MHz FSB 512KB L2 Cache Socket SC242 Intel Pentium II 1-Core Processor,Refurbished,$80.00,https://cdn.cmshardware.com/images/Images/Products/8017P.webp,Phenom II ,,,,Micro Processor ,Single-core (1 Core) ,400 MHz,
8F021, Dell ,Processors,Desktop Processors,NA,8F021 - Dell 800MHz 100MHz FSB 128KB L2 Cache Socket PGA370 Intel Celeron 1-Core Processor,Dell 8F021 800MHz 100MHz FSB 128KB L2 Cache Socket PGA370 Intel Celeron 1-Core Processor,Refurbished,$75.00,https://cdn.cmshardware.com/images/Images/Products/8F021.webp,Celeron ,,,,Micro Processor ,Single-core (1 Core) ,800 MHz,Socket PPGA370 
8D831, Dell ,Processors,Desktop Processors,NA,8D831 - Dell 700MHz 66MHz FSB 128KB L2 Cache Socket PGA370 Intel Celeron 1-Core Processor,Dell 8D831 700MHz 66MHz FSB 128KB L2 Cache Socket PGA370 Intel Celeron 1-Core Processor,Refurbished,$80.00,https://cdn.cmshardware.com/images/Images/Products/8D831.webp,Celeron ,,,,Micro Processor ,Single-core (1 Core) ,700 MHz,Socket PPGA370 
7662T, Dell ,Processors,Desktop Processors,NA,7662T - Dell 433MHz 66MHz FSB 128KB L2 Cache Socket PGA370 Intel Celeron 1-Core Processor,Dell 7662T 433MHz 66MHz FSB 128KB L2 Cache Socket PGA370 Intel Celeron 1-Core Processor,Refurbished,$115.00,https://cdn.cmshardware.com/images/Images/Products/7662T.webp,Celeron ,,,,Micro Processor ,Single-core (1 Core) ,433 MHz,Socket PPGA370 
7149X, Dell ,Processors,Desktop Processors,NA,7149X - Dell 433MHz 66MHz FSB 128KB L2 Cache Socket PGA370 Intel Celeron 1-Core Processor,Dell 7149X 433MHz 66MHz FSB 128KB L2 Cache Socket PGA370 Intel Celeron 1-Core Processor,Refurbished,$115.00,https://cdn.cmshardware.com/images/Images/Products/7149X.webp,Celeron ,,,,Micro Processor ,Single-core (1 Core) ,433 MHz,Socket PPGA370 
46FRH, Dell ,Processors,Desktop Processors,NA,46FRH - Dell 600MHz 66MHz FSB 128KB L2 Cache Socket PGA370 Intel Celeron 1-Core Processor,Dell 46FRH 600MHz 66MHz FSB 128KB L2 Cache Socket PGA370 Intel Celeron 1-Core Processor,Refurbished,$69.00,https://cdn.cmshardware.com/images/Images/Products/46FRH.webp,Celeron ,,,,Micro Processor ,Single-core (1 Core) ,433 MHz,Socket PPGA370 
462RV, Dell ,Processors,Desktop Processors,NA,462RV - Dell 600MHz 66MHz FSB 128KB L2 Cache Socket PGA370 Intel Celeron 1-Core Processor,Dell 462RV 600MHz 66MHz FSB 128KB L2 Cache Socket PGA370 Intel Celeron 1-Core Processor,Refurbished,$80.00,https://cdn.cmshardware.com/images/Images/Products/462RV.webp,Celeron ,,,,Micro Processor ,Single-core (1 Core) ,433 MHz,Socket PPGA370 
4461E, Dell ,Processors,Desktop Processors,NA,4461E - Dell 300MHz 66MHz FSB 512KB L2 Cache Socket SC242 Intel Pentium II Single-core (1 Core) Processor,Dell 4461E 300MHz 66MHz FSB 512KB L2 Cache Socket SC242 Intel Pentium II Single-core (1 Core) Processor,Refurbished,$157.00,https://cdn.cmshardware.com/images/Images/Products/4461E.webp,Pentium ,,,HP ,Micro Processor ,Single-core (1 Core) ,300 GHz,
3D446, Dell ,Processors,Desktop Processors,NA,3D446 - Dell 600MHz 66MHz FSB 128KB L2 Cache Socket PGA370 Intel Celeron 1-Core Processor,Dell 3D446 600MHz 66MHz FSB 128KB L2 Cache Socket PGA370 Intel Celeron 1-Core Processor,Refurbished,$78.00,https://cdn.cmshardware.com/images/Images/Products/3D446.webp,Celeron ,,,,Micro Processor ,Single-core (1 Core) ,433 MHz,Socket PPGA370 
