sku,mpn,name,product_websites,attribute_set_code,product_type,storage,condition,categories,price,qty,is_in_stock,description,short_description,weight,visibility,tax_class_name,meta_title,meta_description,meta_keyword,image,small_image,thumbnail,brand,hard_drive_interface,hard_drive_capacity,hard_drive_speed,hard_drive_form_factor,hard_drive_cache,errors
btd-025150,661-5293,661-5293 Apple 500GB 5400RPM SATA 3Gbps 8MB Cache 2.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Brand/Apple Hard Drives,479.81,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Apple</li><li><strong>Manufacturer Part # :</strong> 661-5293</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 2.5-inch</li><li><strong>Capacity :</strong> 500 GB</li><li><strong>Spindle Speed :</strong> 5400 RPM</li><li><strong>Drive Interface Type :</strong> SATA</li></ul>",<ul> <li><strong>Part No. :</strong> 661-5293</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Apple</li> ,,"Catalog, Search",Taxable Goods,661-5293 Apple 500GB 5400RPM SATA 3Gbps 8MB Cache 2.5-inch Internal Hard Drive,,,btd-025150.jpeg,btd-025150.jpeg,btd-025150.jpeg,Apple,SATA,320GB - 500GB,5400 RPM,2.5-inch,,
btd-025151,655-1646,655-1646 Apple 500GB 5400RPM SATA 3Gbps 8MB Cache 2.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Brand/Apple Hard Drives,104.96,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Apple</li><li><strong>Manufacturer Part # :</strong> 655-1646</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 2.5-inch</li><li><strong>Capacity :</strong> 500 GB</li><li><strong>Cache :</strong> 8 MB</li><li><strong>Spindle Speed :</strong> 5400 RPM</li><li><strong>Drive Interface Type :</strong> SATA 3.0 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> 655-1646</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Apple</li> ,,"Catalog, Search",Taxable Goods,655-1646 Apple 500GB 5400RPM SATA 3Gbps 8MB Cache 2.5-inch Internal Hard Drive,,,btd-025151.jpeg,btd-025151.jpeg,btd-025151.jpeg,Apple,SATA 3.0 Gbps,320GB - 500GB,5400 RPM,2.5-inch,8 MB,
btd-025152,661-5145,661-5145 Apple 320GB 7200RPM SATA 1.5Gbps 2.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Brand/Apple Hard Drives,80.91,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Apple</li><li><strong>Manufacturer Part # :</strong> 661-5145</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 2.5-inch</li><li><strong>Capacity :</strong> 320 GB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Drive Interface Type :</strong> SATA 1.5 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> 661-5145</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Apple</li> ,,"Catalog, Search",Taxable Goods,661-5145 Apple 320GB 7200RPM SATA 1.5Gbps 2.5-inch Internal Hard Drive,,,btd-025152.jpeg,btd-025152.jpeg,btd-025152.jpeg,Apple,SATA 1.5 Gbps,160GB - 320GB,7200 RPM,2.5-inch,,
btd-025153,661-5451,661-5451 Apple 2TB 7200RPM SATA 3.5-inch Internal Hard Drive with Carrier,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Brand/Apple Hard Drives,732.35,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Apple</li><li><strong>Manufacturer Part # :</strong> 661-5451</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 3.5-inch</li><li><strong>Capacity :</strong> 2 TB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Drive Interface Type :</strong> SATA</li></ul>",<ul> <li><strong>Part No. :</strong> 661-5451</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Apple</li> ,,"Catalog, Search",Taxable Goods,661-5451 Apple 2TB 7200RPM SATA 3.5-inch Internal Hard Drive with Carrier,,,btd-025153.jpeg,btd-025153.jpeg,btd-025153.jpeg,Apple,SATA,2 TB,7200 RPM,3.5-inch,,
btd-025154,661-7107,661-7107 Apple 1TB 5400RPM SATA 2.5-inch Internal Hard Drive for iMac,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Brand/Apple Hard Drives,156.65,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Apple</li><li><strong>Manufacturer Part # :</strong> 661-7107</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 2.5-inch</li><li><strong>Capacity :</strong> 1 TB</li><li><strong>Spindle Speed :</strong> 5400 RPM</li><li><strong>Drive Interface Type :</strong> SATA</li></ul>",<ul> <li><strong>Part No. :</strong> 661-7107</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Apple</li> ,,"Catalog, Search",Taxable Goods,661-7107 Apple 1TB 5400RPM SATA 2.5-inch Internal Hard Drive for iMac,,,btd-025154.jpeg,btd-025154.jpeg,btd-025154.jpeg,Apple,SATA,1 TB,5400 RPM,2.5-inch,,
btd-025155,655-1475G,655-1475G Apple 1TB 7200RPM SATA 3Gbps 32MB Cache 3.5-Inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Brand/Apple Hard Drives,56.67,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Apple</li><li><strong>Manufacturer Part # :</strong> 655-1475G</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 3.5-inch</li><li><strong>Capacity :</strong> 1 TB</li><li><strong>Cache :</strong> 32 MB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Drive Interface Type :</strong> SATA 3.0 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> 655-1475G</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Apple</li> ,,"Catalog, Search",Taxable Goods,655-1475G Apple 1TB 7200RPM SATA 3Gbps 32MB Cache 3.5-Inch Internal Hard Drive,,,btd-025155.jpeg,btd-025155.jpeg,btd-025155.jpeg,Apple,SATA 3.0 Gbps,1 TB,7200 RPM,3.5-inch,32 MB,
btd-025156,MC729ZMA04,MC729ZMA04 Apple 1TB 7200RPM SATA 3Gbps 32MB Cache 3.5-Inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Brand/Apple Hard Drives,174.50,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Apple</li><li><strong>Manufacturer Part # :</strong> MC729ZMA04</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 3.5-inch</li><li><strong>Capacity :</strong> 1 TB</li><li><strong>Cache :</strong> 32 MB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Drive Interface Type :</strong> SATA 3.0 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> MC729ZMA04</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Apple</li> ,,"Catalog, Search",Taxable Goods,MC729ZMA04 Apple 1TB 7200RPM SATA 3Gbps 32MB Cache 3.5-Inch Internal Hard Drive,,,btd-025156.jpeg,btd-025156.jpeg,btd-025156.jpeg,Apple,SATA 3.0 Gbps,1 TB,7200 RPM,3.5-inch,32 MB,
btd-025157,655-1359C,655-1359C Apple 500GB 7200RPM SATA 3Gbps 16MB Cache 3.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Brand/Apple Hard Drives,137.28,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Apple</li><li><strong>Manufacturer Part # :</strong> 655-1359C</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 3.5-inch</li><li><strong>Capacity :</strong> 500 GB</li><li><strong>Cache :</strong> 16 MB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Drive Interface Type :</strong> SATA 3.0 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> 655-1359C</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Apple</li> ,,"Catalog, Search",Taxable Goods,655-1359C Apple 500GB 7200RPM SATA 3Gbps 16MB Cache 3.5-inch Internal Hard Drive,,,btd-025157.jpeg,btd-025157.jpeg,btd-025157.jpeg,Apple,SATA 3.0 Gbps,320GB - 500GB,7200 RPM,3.5-inch,16 MB,
btd-025158,661-6497,661-6497 Apple 1TB 5400RPM SATA 2.5-inch Internal Hard Drive for MacBook Pro 15.4-inch,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Brand/Apple Hard Drives,528.92,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Apple</li><li><strong>Manufacturer Part # :</strong> 661-6497</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 2.5-inch</li><li><strong>Capacity :</strong> 1 TB</li><li><strong>Spindle Speed :</strong> 5400 RPM</li><li><strong>Drive Interface Type :</strong> SATA</li></ul>",<ul> <li><strong>Part No. :</strong> 661-6497</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Apple</li> ,,"Catalog, Search",Taxable Goods,661-6497 Apple 1TB 5400RPM SATA 2.5-inch Internal Hard Drive for MacBook Pro 15.4-inch,,,btd-025158.jpeg,btd-025158.jpeg,btd-025158.jpeg,Apple,SATA,1 TB,5400 RPM,2.5-inch,,
btd-025159,655-1359B,655-1359B Apple 500GB 7200RPM SATA 3Gbps 16MB Cache 3.5-inch internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Brand/Apple Hard Drives,137.28,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Apple</li><li><strong>Manufacturer Part # :</strong> 655-1359B</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 3.5-inch</li><li><strong>Capacity :</strong> 500 GB</li><li><strong>Cache :</strong> 16 MB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Drive Interface Type :</strong> SATA 3.0 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> 655-1359B</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Apple</li> ,,"Catalog, Search",Taxable Goods,655-1359B Apple 500GB 7200RPM SATA 3Gbps 16MB Cache 3.5-inch internal Hard Drive,,,btd-025159.jpeg,btd-025159.jpeg,btd-025159.jpeg,Apple,SATA 3.0 Gbps,320GB - 500GB,7200 RPM,3.5-inch,16 MB,
