sku,mpn,name,product_websites,attribute_set_code,product_type,storage,condition,categories,price,qty,is_in_stock,description,short_description,weight,visibility,tax_class_name,meta_title,meta_description,meta_keyword,image,small_image,thumbnail,brand,memory_type,memory_capacity,memory_bandwidth,memory_pins,memory_bus,memory_error_correction,memory_cycle_time,memory_cas,memory_rank,memory_voltage,errors
btd-015969,KCP429ND8/16,KCP429ND8/16 Kingston 16GB PC4-23400 DDR4-2933MHz non-ECC Unbuffered CL21 288-Pin DIMM 1.2V Dual Rank Memory Module,base,Default,simple,,Used,Default Category/Memory/Memory By Brand/Kingston Memory,93.49,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Kingston</li><li><strong>Manufacturer Part # :</strong> KCP429ND8/16</li><li><strong>Memory Type :</strong> DDR4 SDRAM</li><li><strong>Capacity :</strong> 16GB</li><li><strong>Data Transfer Rate :</strong> 2933MHz</li><li><strong>Pins :</strong> 288 Pin</li><li><strong>Bus Type :</strong> PC-23400</li><li><strong>Error Correction :</strong> Non-ECC</li><li><strong>Cycle Time :</strong> 0.682ns</li><li><strong>Cas :</strong> CL21</li><li><strong>Rank :</strong> Rank 2</li><li><strong>Voltage :</strong> 1.2</li></ul>",<ul> <li><strong>Part No. :</strong> KCP429ND8/16</li>   <li><strong>Product Type:</strong> Memory</li>  <li><strong>Brand :</strong> Kingston</li> ,,"Catalog, Search",Taxable Goods,KCP429ND8/16 Kingston 16GB PC4-23400 DDR4-2933MHz non-ECC Unbuffered CL21 288-Pin DIMM 1.2V Dual Rank Memory Module,,,btd-015969.jpeg,btd-015969.jpeg,btd-015969.jpeg,Kingston,DDR4 SDRAM,16GB,2933MHz,288 Pin,PC-23400,Non-ECC,0.682ns,CL21,Rank 2,1.2,
btd-015970,KVR32S22D8/16,KVR32S22D8/16 Kingston 16GB PC4-25600 DDR4-3200MHz non-ECC Unbuffered CL22 260-Pin SoDimm 1.2V Dual Rank Memory Module,base,Default,simple,,Used,Default Category/Memory/Memory By Brand/Kingston Memory,46.32,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Kingston</li><li><strong>Manufacturer Part # :</strong> KVR32S22D8/16</li><li><strong>Memory Type :</strong> SODIMM</li><li><strong>Capacity :</strong> 16GB</li><li><strong>Data Transfer Rate :</strong> 3200MHz</li><li><strong>Pins :</strong> 260 Pin</li><li><strong>Bus Type :</strong> PC-25600</li><li><strong>Error Correction :</strong> Non-ECC</li><li><strong>Cycle Time :</strong> 0.62ns</li><li><strong>Cas :</strong> CL22</li><li><strong>Rank :</strong> Rank 2</li><li><strong>Voltage :</strong> 1.2</li></ul>",<ul> <li><strong>Part No. :</strong> KVR32S22D8/16</li>   <li><strong>Product Type:</strong> Memory</li>  <li><strong>Brand :</strong> Kingston</li> ,,"Catalog, Search",Taxable Goods,KVR32S22D8/16 Kingston 16GB PC4-25600 DDR4-3200MHz non-ECC Unbuffered CL22 260-Pin SoDimm 1.2V Dual Rank Memory Module,,,btd-015970.jpeg,btd-015970.jpeg,btd-015970.jpeg,Kingston,SODIMM,16GB,3200MHz,260 Pin,PC-25600,Non-ECC,0.62ns,CL22,Rank 2,1.2,
btd-015971,KSM29RS8/8MJM,KSM29RS8/8MJM Kingston 8GB PC4-23400 DDR4-2933MHz Registered ECC CL21 288-Pin DIMM 1.2V Single Rank Memory Module,base,Default,simple,,Used,Default Category/Memory/Memory By Brand/Kingston Memory,116.00,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Kingston</li><li><strong>Manufacturer Part # :</strong> KSM29RS8/8MJM</li><li><strong>Memory Type :</strong> DDR4 SDRAM</li><li><strong>Capacity :</strong> 8GB</li><li><strong>Data Transfer Rate :</strong> 2933MHz</li><li><strong>Pins :</strong> 288 Pin</li><li><strong>Bus Type :</strong> PC-23400</li><li><strong>Error Correction :</strong> Registered ECC</li><li><strong>Cycle Time :</strong> 0.682ns</li><li><strong>Cas :</strong> CL21</li><li><strong>Rank :</strong> Rank 1</li><li><strong>Voltage :</strong> 1.2</li></ul>",<ul> <li><strong>Part No. :</strong> KSM29RS8/8MJM</li>   <li><strong>Product Type:</strong> Memory</li>  <li><strong>Brand :</strong> Kingston</li> ,,"Catalog, Search",Taxable Goods,KSM29RS8/8MJM Kingston 8GB PC4-23400 DDR4-2933MHz Registered ECC CL21 288-Pin DIMM 1.2V Single Rank Memory Module,,,btd-015971.jpeg,btd-015971.jpeg,btd-015971.jpeg,Kingston,DDR4 SDRAM,8GB,2933MHz,288 Pin,PC-23400,Registered ECC,0.682ns,CL21,Rank 1,1.2,
btd-015972,KCPC7G-MIAS17525,KCPC7G-MIAS17525 Kingston 32GB PC4-19200 DDR4-2400MHz Registered ECC CL17 288-Pin DIMM 1.2V Dual Rank Memory Module,base,Default,simple,,Used,Default Category/Memory/Memory By Brand/Kingston Memory,72.66,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Kingston</li><li><strong>Manufacturer Part # :</strong> KCPC7G-MIAS17525</li><li><strong>Memory Type :</strong> DDR4 SDRAM</li><li><strong>Capacity :</strong> 32GB</li><li><strong>Data Transfer Rate :</strong> 2400Mhz</li><li><strong>Pins :</strong> 288 Pin</li><li><strong>Bus Type :</strong> PC-19200</li><li><strong>Error Correction :</strong> Registered ECC</li><li><strong>Cycle Time :</strong> 0.83ns</li><li><strong>Cas :</strong> CL17</li><li><strong>Memory Clock :</strong> 300Mhz</li><li><strong>Rank :</strong> Rank 2</li><li><strong>Voltage :</strong> 1.2</li></ul>",<ul> <li><strong>Part No. :</strong> KCPC7G-MIAS17525</li>   <li><strong>Product Type:</strong> Memory</li>  <li><strong>Brand :</strong> Kingston</li> ,,"Catalog, Search",Taxable Goods,KCPC7G-MIAS17525 Kingston 32GB PC4-19200 DDR4-2400MHz Registered ECC CL17 288-Pin DIMM 1.2V Dual Rank Memory Module,,,btd-015972.jpeg,btd-015972.jpeg,btd-015972.jpeg,Kingston,DDR4 SDRAM,32GB,2400Mhz,288 Pin,PC-19200,Registered ECC,0.83ns,CL17,Rank 2,1.2,
btd-015973,KCP426SD8/16,KCP426SD8/16 Kingston 16GB PC4-21300 DDR4-2666MHz non-ECC Unbuffered CL19 260-Pin SoDimm 1.2V Dual Rank Memory Module,base,Default,simple,,Used,Default Category/Memory/Memory By Brand/Kingston Memory,53.87,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Kingston</li><li><strong>Manufacturer Part # :</strong> KCP426SD8/16</li><li><strong>Memory Type :</strong> SODIMM</li><li><strong>Capacity :</strong> 16GB</li><li><strong>Data Transfer Rate :</strong> 2666MHz</li><li><strong>Pins :</strong> 260 Pin</li><li><strong>Bus Type :</strong> PC-21300</li><li><strong>Error Correction :</strong> Non-ECC</li><li><strong>Cycle Time :</strong> 0.75ns</li><li><strong>Cas :</strong> CL19</li><li><strong>Rank :</strong> Rank 2</li><li><strong>Voltage :</strong> 1.2</li></ul>",<ul> <li><strong>Part No. :</strong> KCP426SD8/16</li>   <li><strong>Product Type:</strong> Memory</li>  <li><strong>Brand :</strong> Kingston</li> ,,"Catalog, Search",Taxable Goods,KCP426SD8/16 Kingston 16GB PC4-21300 DDR4-2666MHz non-ECC Unbuffered CL19 260-Pin SoDimm 1.2V Dual Rank Memory Module,,,btd-015973.jpeg,btd-015973.jpeg,btd-015973.jpeg,Kingston,SODIMM,16GB,2666MHz,260 Pin,PC-21300,Non-ECC,0.75ns,CL19,Rank 2,1.2,
btd-015974,KSM24RS4/16MEI,KSM24RS4/16MEI Kingston 16GB PC4-19200 DDR4-2400MHz Registered ECC CL17 288-Pin DIMM 1.2V Single Rank Memory Module (Micron E IDT),base,Default,simple,,Used,Default Category/Memory/Memory By Brand/Kingston Memory,33.66,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Kingston</li><li><strong>Manufacturer Part # :</strong> KSM24RS4/16MEI</li><li><strong>Memory Type :</strong> DDR4 SDRAM</li><li><strong>Capacity :</strong> 16GB</li><li><strong>Data Transfer Rate :</strong> 2400Mhz</li><li><strong>Pins :</strong> 288 Pin</li><li><strong>Bus Type :</strong> PC-19200</li><li><strong>Error Correction :</strong> Registered ECC</li><li><strong>Cycle Time :</strong> 0.83ns</li><li><strong>Cas :</strong> CL17</li><li><strong>Memory Clock :</strong> 300Mhz</li><li><strong>Rank :</strong> Rank 1</li><li><strong>Voltage :</strong> 1.2</li></ul>",<ul> <li><strong>Part No. :</strong> KSM24RS4/16MEI</li>   <li><strong>Product Type:</strong> Memory</li>  <li><strong>Brand :</strong> Kingston</li> ,,"Catalog, Search",Taxable Goods,KSM24RS4/16MEI Kingston 16GB PC4-19200 DDR4-2400MHz Registered ECC CL17 288-Pin DIMM 1.2V Single Rank Memory Module (Micron E IDT),,,btd-015974.jpeg,btd-015974.jpeg,btd-015974.jpeg,Kingston,DDR4 SDRAM,16GB,2400Mhz,288 Pin,PC-19200,Registered ECC,0.83ns,CL17,Rank 1,1.2,
btd-015975,KSM26RSA/16MEM,KSM26RSA/16MEM Kingston 16GB PC4-21300 DDR4-2666MHz Registered ECC CL19 288-Pin DIMM 1.2V Dual Rank Memory Module,base,Default,simple,,Used,Default Category/Memory/Memory By Brand/Kingston Memory,49.14,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Kingston</li><li><strong>Manufacturer Part # :</strong> KSM26RSA/16MEM</li><li><strong>Memory Type :</strong> DDR4 SDRAM</li><li><strong>Capacity :</strong> 16GB</li><li><strong>Data Transfer Rate :</strong> 2666MHz</li><li><strong>Pins :</strong> 288 Pin</li><li><strong>Bus Type :</strong> PC-21300</li><li><strong>Error Correction :</strong> Registered ECC</li><li><strong>Cycle Time :</strong> 0.75ns</li><li><strong>Cas :</strong> CL19</li><li><strong>Rank :</strong> Rank 2</li><li><strong>Voltage :</strong> 1.2</li></ul>",<ul> <li><strong>Part No. :</strong> KSM26RSA/16MEM</li>   <li><strong>Product Type:</strong> Memory</li>  <li><strong>Brand :</strong> Kingston</li> ,,"Catalog, Search",Taxable Goods,KSM26RSA/16MEM Kingston 16GB PC4-21300 DDR4-2666MHz Registered ECC CL19 288-Pin DIMM 1.2V Dual Rank Memory Module,,,btd-015975.jpeg,btd-015975.jpeg,btd-015975.jpeg,Kingston,DDR4 SDRAM,16GB,2666MHz,288 Pin,PC-21300,Registered ECC,0.75ns,CL19,Rank 2,1.2,
btd-015976,KSM32SED8/32HC,KSM32SED8/32HC Kingston 32GB PC4-25600 DDR4-3200MHz ECC Unbuffered CL22 260-Pin SoDimm 1.2V Dual Rank Memory Module,base,Default,simple,,Used,Default Category/Memory/Memory By Brand/Kingston Memory,134.55,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Kingston</li><li><strong>Manufacturer Part # :</strong> KSM32SED8/32HC</li><li><strong>Memory Type :</strong> SODIMM</li><li><strong>Capacity :</strong> 32GB</li><li><strong>Data Transfer Rate :</strong> 3200MHz</li><li><strong>Pins :</strong> 260 Pin</li><li><strong>Bus Type :</strong> PC-25600</li><li><strong>Error Correction :</strong> ECC</li><li><strong>Cycle Time :</strong> 0.62ns</li><li><strong>Cas :</strong> CL22</li><li><strong>Rank :</strong> Rank 2</li><li><strong>Voltage :</strong> 1.2</li></ul>",<ul> <li><strong>Part No. :</strong> KSM32SED8/32HC</li>   <li><strong>Product Type:</strong> Memory</li>  <li><strong>Brand :</strong> Kingston</li> ,,"Catalog, Search",Taxable Goods,KSM32SED8/32HC Kingston 32GB PC4-25600 DDR4-3200MHz ECC Unbuffered CL22 260-Pin SoDimm 1.2V Dual Rank Memory Module,,,btd-015976.jpeg,btd-015976.jpeg,btd-015976.jpeg,Kingston,SODIMM,32GB,3200MHz,260 Pin,PC-25600,ECC,0.62ns,CL22,Rank 2,1.2,
btd-015977,KTH-PL432S4/32G,KTH-PL432S4/32G Kingston 32GB PC4-25600 DDR4-3200MHz Registered ECC CL22 288-Pin DIMM 1.2V Single Rank Memory Module,base,Default,simple,,Used,Default Category/Memory/Memory By Brand/Kingston Memory,126.66,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Kingston</li><li><strong>Manufacturer Part # :</strong> KTH-PL432S4/32G</li><li><strong>Memory Type :</strong> DDR4 SDRAM</li><li><strong>Capacity :</strong> 32GB</li><li><strong>Data Transfer Rate :</strong> 3200MHz</li><li><strong>Pins :</strong> 288 Pin</li><li><strong>Bus Type :</strong> PC-25600</li><li><strong>Error Correction :</strong> Registered ECC</li><li><strong>Cycle Time :</strong> 0.62ns</li><li><strong>Cas :</strong> CL22</li><li><strong>Rank :</strong> Rank 1</li><li><strong>Voltage :</strong> 1.2</li></ul>",<ul> <li><strong>Part No. :</strong> KTH-PL432S4/32G</li>   <li><strong>Product Type:</strong> Memory</li>  <li><strong>Brand :</strong> Kingston</li> ,,"Catalog, Search",Taxable Goods,KTH-PL432S4/32G Kingston 32GB PC4-25600 DDR4-3200MHz Registered ECC CL22 288-Pin DIMM 1.2V Single Rank Memory Module,,,btd-015977.jpeg,btd-015977.jpeg,btd-015977.jpeg,Kingston,DDR4 SDRAM,32GB,3200MHz,288 Pin,PC-25600,Registered ECC,0.62ns,CL22,Rank 1,1.2,
btd-015978,KSM24RS4/16MEI-BK,KSM24RS4/16MEI-BK Kingston 16GB PC4-19200 DDR4-2400MHz Registered ECC CL17 288-Pin DIMM Single Rank Memory Module (Micron E IDT),base,Default,simple,,Used,Default Category/Memory/Memory By Brand/Kingston Memory,33.66,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Kingston</li><li><strong>Manufacturer Part # :</strong> KSM24RS4/16MEI-BK</li><li><strong>Memory Type :</strong> DDR4 SDRAM</li><li><strong>Capacity :</strong> 16GB</li><li><strong>Data Transfer Rate :</strong> 2400Mhz</li><li><strong>Pins :</strong> 288 Pin</li><li><strong>Bus Type :</strong> PC-19200</li><li><strong>Error Correction :</strong> Registered ECC</li><li><strong>Cycle Time :</strong> 0.83ns</li><li><strong>Cas :</strong> CL17</li><li><strong>Memory Clock :</strong> 300Mhz</li><li><strong>Rank :</strong> Rank 1</li><li><strong>Voltage :</strong> 1.2</li></ul>",<ul> <li><strong>Part No. :</strong> KSM24RS4/16MEI-BK</li>   <li><strong>Product Type:</strong> Memory</li>  <li><strong>Brand :</strong> Kingston</li> ,,"Catalog, Search",Taxable Goods,KSM24RS4/16MEI-BK Kingston 16GB PC4-19200 DDR4-2400MHz Registered ECC CL17 288-Pin DIMM Single Rank Memory Module (Micron E IDT),,,btd-015978.jpeg,btd-015978.jpeg,btd-015978.jpeg,Kingston,DDR4 SDRAM,16GB,2400Mhz,288 Pin,PC-19200,Registered ECC,0.83ns,CL17,Rank 1,1.2,
