sku,mpn,name,product_websites,attribute_set_code,product_type,storage,condition,categories,price,qty,is_in_stock,description,short_description,weight,visibility,tax_class_name,meta_title,meta_description,meta_keyword,image,small_image,thumbnail,brand,cpu_form_factor,cpu_socket,errors
btd-045373,790XG45,790XG45 MSI Socket AM3 AMD 790X + SB710 Chipset AMD Phenom II X4/ Phenom II X3/ Phenom II X2/ AMD Phenom X4/ Phenom X3/ AMD Athlon II X4/ Athlon II X3/ Athlon II X2/ AMD Sempron Processors Support DDR3 4x DIMM 6x SATA2 3.0Gb/s ATX Motherboard (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Socket/Socket AM3 Motherboards,141.61,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> MSI</li><li><strong>Manufacturer Part # :</strong> 790XG45</li><li><strong>CPU Socket Type :</strong> Socket AM3</li></ul>",<ul> <li><strong>Part No. :</strong> 790XG45</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> MSI</li> ,,"Catalog, Search",Taxable Goods,790XG45 MSI Socket AM3 AMD 790X + SB710 Chipset AMD Phenom I,,,btd-045373.jpeg,btd-045373.jpeg,btd-045373.jpeg,MSI,,Socket AM3,
btd-045374,M4A77T,M4A77T ASUS Socket AM3 AMD 770 + SB710 Chipset AMD Phenom II/ AMD Athlon II/ AMD Sempron Processors Support DDR3 4x DIMM 6x SATA 3.0Gb/s ATX Motherboard (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Socket/Socket AM3 Motherboards,151.49,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> ASUS</li><li><strong>Manufacturer Part # :</strong> M4A77T</li><li><strong>CPU Socket Type :</strong> Socket AM3</li></ul>",<ul> <li><strong>Part No. :</strong> M4A77T</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> ASUS</li> ,,"Catalog, Search",Taxable Goods,M4A77T ASUS Socket AM3 AMD 770 + SB710 Chipset AMD Phenom II,,,btd-045374.jpeg,btd-045374.jpeg,btd-045374.jpeg,ASUS,,Socket AM3,
btd-045375,90-MIBD20-G0EAY0,90-MIBD20-G0EAY0 ASUS Socket AM3 AMD 880G + SB710 Chipset AMD Phenom II/ AMD Athlon II/ AMD Sempron 100 Series Processors Support DDR3 4x DIMM 6x SATA 3.0Gb/s Micro ATX Motherboard (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Socket/Socket AM3 Motherboards,113.93,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> ASUS</li><li><strong>Manufacturer Part # :</strong> 90-MIBD20-G0EAY0</li><li><strong>CPU Socket Type :</strong> Socket AM3</li></ul>",<ul> <li><strong>Part No. :</strong> 90-MIBD20-G0EAY0</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> ASUS</li> ,,"Catalog, Search",Taxable Goods,90-MIBD20-G0EAY0 ASUS Socket AM3 AMD 880G + SB710 Chipset AM,,,btd-045375.jpeg,btd-045375.jpeg,btd-045375.jpeg,ASUS,,Socket AM3,
btd-045376,M4A87TD,M4A87TD ASUS Socket AM3 AMD 870 + SB750 Chipset AMD Phenom II/ Athlon II Sempron 100 Series Processors Support DDR3 4x DIMM 6x SATA 6.0Gb/s ATX Motherboard (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Socket/Socket AM3 Motherboards,117.37,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> ASUS</li><li><strong>Manufacturer Part # :</strong> M4A87TD</li><li><strong>CPU Socket Type :</strong> Socket AM3</li></ul>",<ul> <li><strong>Part No. :</strong> M4A87TD</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> ASUS</li> ,,"Catalog, Search",Taxable Goods,M4A87TD ASUS Socket AM3 AMD 870 + SB750 Chipset AMD Phenom I,,,btd-045376.jpeg,btd-045376.jpeg,btd-045376.jpeg,ASUS,,Socket AM3,
btd-041033,890FXDELUXE3,890FXDELUXE3 ASRock Socket AM3 AMD 890 + SB850 Chipset AMD Phenom II X6/ Phenom II X4/ Phenom II X3/ Phenom II X2/ AMD Athlon II X4/ Athlon II X3/ Athlon II X2/ AMD Sempron Processors Support DDR3 4x DIMM 6x SATA3 6.0Gb/s ATX Motherboard (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Socket/Socket AM3 Motherboards,232.85,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> ASRock</li><li><strong>Manufacturer Part # :</strong> 890FXDELUXE3</li><li><strong>Product Type :</strong> System Board</li><li><strong>Form Factor :</strong> ATX</li><li><strong>CPU Socket Type :</strong> Socket AM3</li><li><strong>Supported CPU(s) :</strong> AMD Athlon II ProcessorAMD Phenom II ProcessorAMD Sempron Processor</li><li><strong>Supported CPU Technologies :</strong> Cool n Quiet Technology</li><li><strong>Chipset :</strong> AMD 890FX</li><li><strong>Number of Memory Slot(s) :</strong> 4</li><li><strong>Number of Memory Channel(s) :</strong> 2</li><li><strong>Supported Memory Standard(s) :</strong> PC3-10600 (DDR3-1333)PC3-12800 (DDR3-1600)PC3-14900 (DDR3-1866)PC3-16000 (DDR3-2000)PC3-6400 (DDR3-800)PC3-8500 (DDR3-1066)</li><li><strong>Maximum Installed Memory :</strong> 16 GB</li><li><strong>Expansion Slots :</strong> PCI-E 2.0 x1PCI-E 2.0 x16</li><li><strong>Storage Controller :</strong> SATA 6.0 Gbps</li><li><strong>Audio Controller :</strong> VIA VT2020</li><li><strong>Network :</strong> Gigabit Ethernet</li><li><strong>Connectors/Ports :</strong> 24-pin ATX Power Connector8-pin 12V Power ConnectorAudio-InChassis Fan ConnectorCOMCPU Fan ConnectoreSATAPS/2 KeyboardPS/2 MouseRJ-45TPM HeaderUSB 2.0USB 3.1</li></ul>",<ul> <li><strong>Part No. :</strong> 890FXDELUXE3</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> ASRock</li> ,,"Catalog, Search",Taxable Goods,890FXDELUXE3 ASRock Socket AM3 AMD 890 + SB850 Chipset AMD P,,,btd-041033.jpeg,btd-041033.jpeg,btd-041033.jpeg,ASRock,ATX,Socket AM3,
btd-041854,GA-MA790FXT-UD5P,GA-MA790FXT-UD5P Gigabyte Socket AM3 AMD 790FX/ SB750 Chipset AMD Phenom II X4/ AMD Phenom II X3/ Processors Support DDR3 4x DIMM 6x SATA 3.0Gb/s ATX Motherboard (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Socket/Socket AM3 Motherboards,151.49,5,1,"Specifications:
 <ul></ul>",<ul> <li><strong>Part No. :</strong> GA-MA790FXT-UD5P</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> </li> ,,"Catalog, Search",Taxable Goods,GA-MA790FXT-UD5P Gigabyte Socket AM3 AMD 790FX/ SB750 Chipse,,,btd-041854.jpeg,btd-041854.jpeg,btd-041854.jpeg,,,,
btd-045379,M4A79X-TD-EVO,M4A79X-TD-EVO ASUS Socket AM3 AMD 790X + SB750 Chipset AMD Phenom II/ Athlon II Sempron 100 Series Processors Support DDR3 4x DIMM 6x SATA 3.0Gb/s ATX Motherboard (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Socket/Socket AM3 Motherboards,146.71,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> ASUS</li><li><strong>Manufacturer Part # :</strong> M4A79X-TD-EVO</li><li><strong>CPU Socket Type :</strong> Socket AM3</li></ul>",<ul> <li><strong>Part No. :</strong> M4A79X-TD-EVO</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> ASUS</li> ,,"Catalog, Search",Taxable Goods,M4A79X-TD-EVO ASUS Socket AM3 AMD 790X + SB750 Chipset AMD P,,,btd-045379.jpeg,btd-045379.jpeg,btd-045379.jpeg,ASUS,,Socket AM3,
btd-045380,GA-770T-D3L(rev.8.8),GA-770T-D3L(rev.8.8) Gigabyte Socket AM3 AMD 880/ SB710 Chipset AMD AM3/AM3+ Phenom II/ AMD Athlon II/ Processors Support DDR3 2x DIMM 6x SATA 3.0Gb/s ATX Motherboard (Refurbished) GA-770T-D3L (rev. 8.8),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Socket/Socket AM3 Motherboards,380.73,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Gigabyte Tech</li><li><strong>Manufacturer Part # :</strong> GA-770T-D3L(rev.8.8)</li><li><strong>CPU Socket Type :</strong> Socket AM3</li></ul>",<ul> <li><strong>Part No. :</strong> GA-770T-D3L(rev.8.8)</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> Gigabyte Tech</li> ,,"Catalog, Search",Taxable Goods,GA-770T-D3L(rev.8.8) Gigabyte Socket AM3 AMD 880/ SB710 Chip,,,btd-045380.jpeg,btd-045380.jpeg,btd-045380.jpeg,Gigabyte Tech,,Socket AM3,
btd-040681,90-MIB9S0-G0EAY00Z,90-MIB9S0-G0EAY00Z ASUS Socket AM3 AMD 770 + SB710 Chipset AMD Phenom II/ Athlon II/ Sempron 100 Series Processors Support DDDR3 4x DIMM 5x SATA 3.0Gb/s ATX Motherboard (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Socket/Socket AM3 Motherboards,117.37,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> ASUS</li><li><strong>Manufacturer Part # :</strong> 90-MIB9S0-G0EAY00Z</li><li><strong>CPU Socket Type :</strong> Socket AM3</li></ul>",<ul> <li><strong>Part No. :</strong> 90-MIB9S0-G0EAY00Z</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> ASUS</li> ,,"Catalog, Search",Taxable Goods,90-MIB9S0-G0EAY00Z ASUS Socket AM3 AMD 770 + SB710 Chipset A,,,btd-040681.jpeg,btd-040681.jpeg,btd-040681.jpeg,ASUS,,Socket AM3,
btd-045382,90-MIBCA0-G0EAY0,90-MIBCA0-G0EAY0 ASUS Socket AM3 AMD 770 + SB710 Chipset AMD Phenom II/ AMD Athlon II/ AMD Sempron Processors Support DDR3 4x DIMM 6x SATA 3.0Gb/s ATX Motherboard (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Socket/Socket AM3 Motherboards,118.64,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> ASUS</li><li><strong>Manufacturer Part # :</strong> 90-MIBCA0-G0EAY0</li><li><strong>CPU Socket Type :</strong> Socket AM3</li></ul>",<ul> <li><strong>Part No. :</strong> 90-MIBCA0-G0EAY0</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> ASUS</li> ,,"Catalog, Search",Taxable Goods,90-MIBCA0-G0EAY0 ASUS Socket AM3 AMD 770 + SB710 Chipset AMD,,,btd-045382.jpeg,btd-045382.jpeg,btd-045382.jpeg,ASUS,,Socket AM3,
