sku,mpn,name,product_websites,attribute_set_code,product_type,storage,condition,categories,price,qty,is_in_stock,description,short_description,weight,visibility,tax_class_name,meta_title,meta_description,meta_keyword,image,small_image,thumbnail,brand,processor_cores,processor_clock_speed,processor_socket,errors
btd-005001,SLC3T,SLC3T Intel Xeon E7-4870 10-Core 2.40GHz 6.40GT/s QPI 30MB L3 Cache Socket LGA1567 Processor,base,Default,simple,,Used,Default Category/CPUs/CPU By Category/Server CPU,115.68,1,1,"Specifications:
 <ul><li><strong>Brand :</strong> Intel</li><li><strong>Part No. :</strong> SLC3T</li><li><strong>Processor Type :</strong> Server</li><li><strong>Processor Family :</strong> E7-4800</li><li><strong>Series :</strong> Xeon Processor</li><li><strong>Core Model Type/ProcNo. :</strong> E7-4870</li><li><strong>Processor Code Name :</strong> Westmere EX</li><li><strong>Core Stepping :</strong> A2</li><li><strong>Manufacturing Technology :</strong> 32 nm</li><li><strong>CPU ID String :</strong> 206F2</li><li><strong># of Cores :</strong> 10</li><li><strong># of Threads :</strong> 20</li><li><strong>Clock Speed :</strong> 2.40 GHz</li><li><strong>L3 Cache Size :</strong> 30 MB</li><li><strong>Front Side Bus / QuickPath Interconnect :</strong> 6.40 GT/s QPI</li><li><strong>Thermal Power :</strong> 130 Watts</li><li><strong>CPU Socket Type :</strong> LGA 1567</li><li><strong>Product Condition :</strong> OEM</li><li><strong>Standard Warranty :</strong> 21 days</li></ul>",<ul> <li><strong>Part No. :</strong> SLC3T</li>   <li><strong>Product Type:</strong> CPU/Microprocessor</li>  <li><strong>Brand :</strong> Intel</li> <li><strong>Processor Cores :</strong> 10-Core</li> ,,"Catalog, Search",Taxable Goods,SLC3T Intel Xeon E7-4870 10-Core 2.40GHz 6.40GT/s QPI 30MB L3 Cache Socket LGA1567 Processor,,,btd-005001.jpeg,btd-005001.jpeg,btd-005001.jpeg,Intel,10-Core,2.40 GHz,LGA 1567,
btd-005002,E5462,E5462 Intel Xeon Quad Core 2.80GHz 1600MHz FSB 12MB L2 Cache Processor,base,Default,simple,,Used,Default Category/CPUs/CPU By Category/Server CPU,97.54,1,1,"Specifications:
 <ul><li><strong>Brand :</strong> Intel</li><li><strong>Part No. :</strong> E5462</li><li><strong>Processor Type :</strong> Server</li><li><strong>Series :</strong> Xeon Processor</li><li><strong>Core Model Type/ProcNo. :</strong> E5462</li><li><strong>Processor Code Name :</strong> Harpertown</li><li><strong>Core Stepping :</strong> C0</li><li><strong>Manufacturing Technology :</strong> 45 nm</li><li><strong>CPU ID String :</strong> 10676h</li><li><strong># of Cores :</strong> 4</li><li><strong># of Threads :</strong> 4</li><li><strong>Clock Speed :</strong> 2.80 GHz</li><li><strong>L2 Cache Size :</strong> 12 MB</li><li><strong>Front Side Bus / QuickPath Interconnect :</strong> 1600 MHz</li><li><strong>Thermal Power :</strong> 80 Watts</li><li><strong>VID Voltage Range :</strong> 0.850V-1.3500V</li><li><strong>CPU Socket Type :</strong> LGA 771</li><li><strong>Product Condition :</strong> OEM</li><li><strong>Standard Warranty :</strong> 21 days</li></ul>",<ul> <li><strong>Part No. :</strong> E5462</li>   <li><strong>Product Type:</strong> CPU/Microprocessor</li>  <li><strong>Brand :</strong> Intel</li> <li><strong>Processor Cores :</strong> 4-Core</li> ,,"Catalog, Search",Taxable Goods,E5462 Intel Xeon Quad Core 2.80GHz 1600MHz FSB 12MB L2 Cache Processor,,,btd-005002.jpeg,btd-005002.jpeg,btd-005002.jpeg,Intel,4-Core,2.80 GHz,LGA 771,
btd-005003,E5-2698v3,E5-2698v3 Intel Xeon E5-2698 v3 16-Core 2.30GHz 9.60GT/s QPI 40MB L3 Cache Processor,base,Default,simple,,Used,Default Category/CPUs/CPU By Category/Server CPU,134.04,1,1,"Specifications:
 <ul><li><strong>Brand :</strong> Intel</li><li><strong>Part No. :</strong> E5-2698v3</li><li><strong>Processor Type :</strong> Server</li><li><strong>Processor Family :</strong> E5-2600 v3</li><li><strong>Series :</strong> Xeon Processor</li><li><strong>Core Model Type/ProcNo. :</strong> E5-2698 v3</li><li><strong>Processor Code Name :</strong> Haswell</li><li><strong>Core Stepping :</strong> C0</li><li><strong>Manufacturing Technology :</strong> 22 nm</li><li><strong>CPU ID String :</strong> 306F2</li><li><strong># of Cores :</strong> 16</li><li><strong># of Threads :</strong> 32</li><li><strong>Clock Speed :</strong> 2.30 GHz</li><li><strong>L3 Cache Size :</strong> 40 MB</li><li><strong>Front Side Bus / QuickPath Interconnect :</strong> 9.60 GT/s QPI</li><li><strong>Thermal Power :</strong> 135 Watts</li><li><strong>VID Voltage Range :</strong> 0.65Vâ€“1.30V</li><li><strong>CPU Socket Type :</strong> LGA 2011-3</li><li><strong>Product Condition :</strong> OEM</li><li><strong>Standard Warranty :</strong> 21 days</li></ul>",<ul> <li><strong>Part No. :</strong> E5-2698v3</li>   <li><strong>Product Type:</strong> CPU/Microprocessor</li>  <li><strong>Brand :</strong> Intel</li> <li><strong>Processor Cores :</strong> 16-Core</li> ,,"Catalog, Search",Taxable Goods,E5-2698v3 Intel Xeon E5-2698 v3 16-Core 2.30GHz 9.60GT/s QPI 40MB L3 Cache Processor,,,btd-005003.jpeg,btd-005003.jpeg,btd-005003.jpeg,Intel,16-Core,2.30 GHz,LGA 2011-3,
btd-005004,SLBRE,SLBRE Intel Xeon X7550 8-Core 2.00GHz 6.40GT/s QPI 18MB L3 Cache Socket FCLGA1567 Processor,base,Default,simple,,Used,Default Category/CPUs/CPU By Category/Server CPU,87.45,1,1,"Specifications:
 <ul><li><strong>Brand :</strong> Intel</li><li><strong>Part No. :</strong> SLBRE</li><li><strong>Processor Type :</strong> Server</li><li><strong>Series :</strong> Xeon Processor</li><li><strong>Core Model Type/ProcNo. :</strong> X7550</li><li><strong>Processor Code Name :</strong> Nehalem EX</li><li><strong>Core Stepping :</strong> D0</li><li><strong>Manufacturing Technology :</strong> 45 nm</li><li><strong>CPU ID String :</strong> 206E6</li><li><strong># of Cores :</strong> 8</li><li><strong># of Threads :</strong> 16</li><li><strong>Clock Speed :</strong> 2.00 GHz</li><li><strong>L3 Cache Size :</strong> 18 MB</li><li><strong>Front Side Bus / QuickPath Interconnect :</strong> 6.40 GT/s QPI</li><li><strong>Thermal Power :</strong> 130 Watts</li><li><strong>VID Voltage Range :</strong> 0.675V-1.35V</li><li><strong>CPU Socket Type :</strong> LGA 1567</li><li><strong>Product Condition :</strong> OEM</li><li><strong>Standard Warranty :</strong> 21 days</li></ul>",<ul> <li><strong>Part No. :</strong> SLBRE</li>   <li><strong>Product Type:</strong> CPU/Microprocessor</li>  <li><strong>Brand :</strong> Intel</li> <li><strong>Processor Cores :</strong> 8-Core</li> ,,"Catalog, Search",Taxable Goods,SLBRE Intel Xeon X7550 8-Core 2.00GHz 6.40GT/s QPI 18MB L3 Cache Socket FCLGA1567 Processor,,,btd-005004.jpeg,btd-005004.jpeg,btd-005004.jpeg,Intel,8-Core,2.00 GHz,LGA 1567,
btd-005005,223-8488,223-8488 Dell 2.33GHz 1333MHz FSB 12MB L2 Cache Intel Xeon L5410 Quad Core Processor Upgrade,base,Default,simple,,Used,Default Category/CPUs/CPU By Category/Server CPU,81.44,1,1,"Specifications:
 <ul><li><strong>Brand :</strong> Intel</li><li><strong>Part No. :</strong> 223-8488</li><li><strong>Processor Type :</strong> Server</li><li><strong>Series :</strong> Xeon Processor</li><li><strong>Core Model Type/ProcNo. :</strong> L5410</li><li><strong>Processor Code Name :</strong> Harpertown</li><li><strong>Core Stepping :</strong> C0</li><li><strong>Manufacturing Technology :</strong> 45 nm</li><li><strong>CPU ID String :</strong> 10676</li><li><strong># of Cores :</strong> 4</li><li><strong># of Threads :</strong> 4</li><li><strong>Clock Speed :</strong> 2.33 GHz</li><li><strong>L2 Cache Size :</strong> 12 MB</li><li><strong>Front Side Bus / QuickPath Interconnect :</strong> 1333 MHz</li><li><strong>Thermal Power :</strong> 50 Watts</li><li><strong>VID Voltage Range :</strong> 0.850V-1.3500V</li><li><strong>CPU Socket Type :</strong> LGA 771</li><li><strong>Product Condition :</strong> OEM</li><li><strong>Standard Warranty :</strong> 21 days</li></ul>",<ul> <li><strong>Part No. :</strong> 223-8488</li>   <li><strong>Product Type:</strong> CPU/Microprocessor</li>  <li><strong>Brand :</strong> Intel</li> <li><strong>Processor Cores :</strong> 4-Core</li> ,,"Catalog, Search",Taxable Goods,223-8488 Dell 2.33GHz 1333MHz FSB 12MB L2 Cache Intel Xeon L5410 Quad Core Processor Upgrade,,,btd-005005.jpeg,btd-005005.jpeg,btd-005005.jpeg,Intel,4-Core,2.33 GHz,LGA 771,
btd-005006,X5667,X5667 Intel Xeon Quad-Core 3.06GHz 6.40GT/s QPI 12MB L3 Cache Processor,base,Default,simple,,Used,Default Category/CPUs/CPU By Category/Server CPU,115.68,1,1,"Specifications:
 <ul><li><strong>Brand :</strong> Intel</li><li><strong>Part No. :</strong> X5667</li><li><strong>Processor Type :</strong> Server</li><li><strong>Series :</strong> Xeon Processor</li><li><strong>Core Model Type/ProcNo. :</strong> X5667</li><li><strong>Processor Code Name :</strong> Westmere EP</li><li><strong>Core Stepping :</strong> B0</li><li><strong>Manufacturing Technology :</strong> 32 nm</li><li><strong>CPU ID String :</strong> 206C2</li><li><strong># of Cores :</strong> 4</li><li><strong># of Threads :</strong> 8</li><li><strong>Clock Speed :</strong> 3.06 GHz</li><li><strong>L3 Cache Size :</strong> 12 MB</li><li><strong>Front Side Bus / QuickPath Interconnect :</strong> 6.40 GT/s QPI</li><li><strong>Thermal Power :</strong> 95 Watts</li><li><strong>VID Voltage Range :</strong> 0.750V-1.350V</li><li><strong>CPU Socket Type :</strong> LGA 1366</li><li><strong>Product Condition :</strong> OEM</li><li><strong>Standard Warranty :</strong> 21 days</li></ul>",<ul> <li><strong>Part No. :</strong> X5667</li>   <li><strong>Product Type:</strong> CPU/Microprocessor</li>  <li><strong>Brand :</strong> Intel</li> <li><strong>Processor Cores :</strong> 4-Core</li> ,,"Catalog, Search",Taxable Goods,X5667 Intel Xeon Quad-Core 3.06GHz 6.40GT/s QPI 12MB L3 Cache Processor,,,btd-005006.jpeg,btd-005006.jpeg,btd-005006.jpeg,Intel,4-Core,3.06 GHz,LGA 1366,
btd-005007,SLBLD,SLBLD Intel Xeon X3450 Quad-Core 2.66GHz 2.50GT/s DMI 8MB L3 Cache Socket LGA1156 Processor,base,Default,simple,,Used,Default Category/CPUs/CPU By Category/Server CPU,115.68,1,1,"Specifications:
 <ul><li><strong>Brand :</strong> Intel</li><li><strong>Part No. :</strong> SLBLD</li><li><strong>Processor Type :</strong> Server</li><li><strong>Series :</strong> Xeon Processor</li><li><strong>Core Model Type/ProcNo. :</strong> X3450</li><li><strong>Processor Code Name :</strong> Lynnfield</li><li><strong>Core Stepping :</strong> B1</li><li><strong>Manufacturing Technology :</strong> 45 nm</li><li><strong>CPU ID String :</strong> 106E5</li><li><strong># of Cores :</strong> 4</li><li><strong># of Threads :</strong> 8</li><li><strong>Clock Speed :</strong> 2.66 GHz</li><li><strong>L3 Cache Size :</strong> 8 MB</li><li><strong>Front Side Bus / QuickPath Interconnect :</strong> 2.50 GT/s</li><li><strong>Thermal Power :</strong> 95 Watts</li><li><strong>VID Voltage Range :</strong> 0.6500V-1.4000V</li><li><strong>CPU Socket Type :</strong> LGA 1156</li><li><strong>Product Condition :</strong> OEM</li><li><strong>Standard Warranty :</strong> 21 days</li></ul>",<ul> <li><strong>Part No. :</strong> SLBLD</li>   <li><strong>Product Type:</strong> CPU/Microprocessor</li>  <li><strong>Brand :</strong> Intel</li> <li><strong>Processor Cores :</strong> 4-Core</li> ,,"Catalog, Search",Taxable Goods,SLBLD Intel Xeon X3450 Quad-Core 2.66GHz 2.50GT/s DMI 8MB L3 Cache Socket LGA1156 Processor,,,btd-005007.jpeg,btd-005007.jpeg,btd-005007.jpeg,Intel,4-Core,2.66 GHz,LGA 1156,
btd-005008,X7542,X7542 Intel Xeon 6 Core 2.67GHz 5.86GT/s QPI 18MB L3 Cache Processor,base,Default,simple,,Used,Default Category/CPUs/CPU By Category/Server CPU,125.23,1,1,"Specifications:
 <ul><li><strong>Brand :</strong> Intel</li><li><strong>Part No. :</strong> X7542</li><li><strong>Processor Type :</strong> Server</li><li><strong>Series :</strong> Xeon Processor</li><li><strong>Core Model Type/ProcNo. :</strong> X7542</li><li><strong>Processor Code Name :</strong> Nehalem EX</li><li><strong>Core Stepping :</strong> D0</li><li><strong>Manufacturing Technology :</strong> 45 nm</li><li><strong>CPU ID String :</strong> 206E6h</li><li><strong># of Cores :</strong> 6</li><li><strong># of Threads :</strong> 6</li><li><strong>Clock Speed :</strong> 2.67 GHz</li><li><strong>L3 Cache Size :</strong> 18 MB</li><li><strong>Front Side Bus / QuickPath Interconnect :</strong> 5.86 GT/s QPI</li><li><strong>Thermal Power :</strong> 130 Watts</li><li><strong>VID Voltage Range :</strong> 0.675V-1.35V</li><li><strong>CPU Socket Type :</strong> LGA 1156</li><li><strong>Product Condition :</strong> OEM</li><li><strong>Standard Warranty :</strong> 21 days</li></ul>",<ul> <li><strong>Part No. :</strong> X7542</li>   <li><strong>Product Type:</strong> CPU/Microprocessor</li>  <li><strong>Brand :</strong> Intel</li> <li><strong>Processor Cores :</strong> 6-Core</li> ,,"Catalog, Search",Taxable Goods,X7542 Intel Xeon 6 Core 2.67GHz 5.86GT/s QPI 18MB L3 Cache Processor,,,btd-005008.jpeg,btd-005008.jpeg,btd-005008.jpeg,Intel,6-Core,2.67 GHz,LGA 1156,
btd-005009,E5-2609,E5-2609 Intel Xeon E5 Quad-Core 2.40GHz 6.40GT/s QPI 10MB L3 Cache Processor,base,Default,simple,,Used,Default Category/CPUs/CPU By Category/Server CPU,128.61,1,1,"Specifications:
 <ul><li><strong>Brand :</strong> Intel</li><li><strong>Part No. :</strong> E5-2609</li><li><strong>Processor Type :</strong> Server</li><li><strong>Processor Family :</strong> E5-2600</li><li><strong>Series :</strong> Xeon Processor</li><li><strong>Core Model Type/ProcNo. :</strong> E5-2609</li><li><strong>Processor Code Name :</strong> Sandy Bridge EP</li><li><strong>Core Stepping :</strong> M0</li><li><strong>Manufacturing Technology :</strong> 32 nm</li><li><strong>CPU ID String :</strong> 206D6</li><li><strong># of Cores :</strong> 4</li><li><strong># of Threads :</strong> 4</li><li><strong>Clock Speed :</strong> 2.40 GHz</li><li><strong>L3 Cache Size :</strong> 10 MB</li><li><strong>Front Side Bus / QuickPath Interconnect :</strong> 6.40 GT/s QPI</li><li><strong>Thermal Power :</strong> 80 Watts</li><li><strong>VID Voltage Range :</strong> 0.60V-1.35V</li><li><strong>CPU Socket Type :</strong> LGA 2011</li><li><strong>Product Condition :</strong> OEM</li><li><strong>Standard Warranty :</strong> 21 days</li></ul>",<ul> <li><strong>Part No. :</strong> E5-2609</li>   <li><strong>Product Type:</strong> CPU/Microprocessor</li>  <li><strong>Brand :</strong> Intel</li> <li><strong>Processor Cores :</strong> 4-Core</li> ,,"Catalog, Search",Taxable Goods,E5-2609 Intel Xeon E5 Quad-Core 2.40GHz 6.40GT/s QPI 10MB L3 Cache Processor,,,btd-005009.jpeg,btd-005009.jpeg,btd-005009.jpeg,Intel,4-Core,2.40 GHz,LGA 2011,
btd-005010,E5-2667,E5-2667 Intel Xeon E5 6-Core 2.90GHz 8.00GT/s QPI 15MB L3 Cache Processor,base,Default,simple,,Used,Default Category/CPUs/CPU By Category/Server CPU,110.81,1,1,"Specifications:
 <ul><li><strong>Brand :</strong> Intel</li><li><strong>Part No. :</strong> E5-2667</li><li><strong>Processor Type :</strong> Server</li><li><strong>Processor Family :</strong> Intel Xeon Processor E5 Family</li><li><strong>Series :</strong> Xeon Processor</li><li><strong>Core Model Type/ProcNo. :</strong> E5-2667</li><li><strong>Processor Code Name :</strong> Sandy Bridge-EP</li><li><strong>Core Stepping :</strong> C1</li><li><strong>Manufacturing Technology :</strong> 32 nm</li><li><strong># of Cores :</strong> 6</li><li><strong># of Threads :</strong> 12</li><li><strong>Clock Speed :</strong> 2.90 GHz</li><li><strong>L3 Cache Size :</strong> 15 MB</li><li><strong>Front Side Bus / QuickPath Interconnect :</strong> 8.00 GT/s QPI</li><li><strong>Thermal Power :</strong> 130 Watts</li><li><strong>VID Voltage Range :</strong> 0.60V-1.35V</li><li><strong>CPU Socket Type :</strong> LGA 2011</li><li><strong>Product Condition :</strong> OEM</li><li><strong>Standard Warranty :</strong> 21 days</li></ul>",<ul> <li><strong>Part No. :</strong> E5-2667</li>   <li><strong>Product Type:</strong> CPU/Microprocessor</li>  <li><strong>Brand :</strong> Intel</li> <li><strong>Processor Cores :</strong> 6-Core</li> ,,"Catalog, Search",Taxable Goods,E5-2667 Intel Xeon E5 6-Core 2.90GHz 8.00GT/s QPI 15MB L3 Cache Processor,,,btd-005010.jpeg,btd-005010.jpeg,btd-005010.jpeg,Intel,6-Core,2.90 GHz,LGA 2011,
